time_slot_id,day_of_week,start_time,end_time
1,Mon,08:30:00,09:20:00
2,Mon,09:30:00,10:20:00
3,Mon,10:30:00,11:20:00
4,Mon,11:30:00,12:20:00
5,Mon,12:30:00,13:20:00
6,Mon,13:30:00,14:20:00
7,Mon,14:30:00,15:20:00
8,Mon,15:30:00,16:20:00
9,Mon,16:30:00,17:20:00
10,Mon,17:30:00,18:20:00
11,Mon,18:30:00,19:20:00
12,Mon,19:30:00,20:20:00
13,Wed,08:30:00,09:20:00
14,Wed,09:30:00,10:20:00
15,Wed,10:30:00,11:20:00
16,Wed,11:30:00,12:20:00
17,Wed,12:30:00,13:20:00
18,Wed,13:30:00,14:20:00
19,Wed,14:30:00,15:20:00
20,Wed,15:30:00,16:20:00
21,Wed,16:30:00,17:20:00
22,Wed,17:30:00,18:20:00
23,Wed,18:30:00,19:20:00
24,Wed,19:30:00,20:20:00
25,Fri,08:30:00,09:20:00
26,Fri,09:30:00,10:20:00
27,Fri,10:30:00,11:20:00
28,Fri,11:30:00,12:20:00
29,Fri,12:30:00,13:20:00
30,Fri,13:30:00,14:20:00
31,Fri,14:30:00,15:20:00
32,Fri,15:30:00,16:20:00
33,Fri,16:30:00,17:20:00
34,Fri,17:30:00,18:20:00
35,Fri,18:30:00,19:20:00
36,Fri,19:30:00,20:20:00
37,Tue,09:00:00,10:15:00
38,Tue,10:30:00,11:45:00
39,Tue,12:00:00,13:15:00
40,Tue,13:30:00,14:45:00
41,Tue,15:00:00,16:15:00
42,Tue,16:30:00,17:45:00
43,Tue,18:00:00,19:15:00
44,Tue,19:30:00,20:45:00
45,Thu,09:00:00,10:15:00
46,Thu,10:30:00,11:45:00
47,Thu,12:00:00,13:15:00
48,Thu,13:30:00,14:45:00
49,Thu,15:00:00,16:15:00
50,Thu,16:30:00,17:45:00
51,Thu,18:00:00,19:15:00
52,Thu,19:30:00,20:45:00
